"Geneid"	"logFC"	"logCPM"	"F"	"PValue"
"ENSG00000000003"	0.476908569732219	4.47081060212365	7.22929055301884	0.0134847942984422
"ENSG00000000419"	-0.027979443090543	3.45605931037063	0.0751197000913007	0.786606223952743
"ENSG00000000457"	-0.0892739864050607	3.05842734919094	0.553726348711975	0.464753057606922
"ENSG00000000460"	0.168175147144801	2.10201321013966	1.2216887997539	0.28109130352736
"ENSG00000001036"	0.08025855828797	3.90615663681525	0.58626941072944	0.452084615416423
"ENSG00000001084"	0.21379270445747	4.4707715007519	6.58903703120216	0.0176675496410298
"ENSG00000001167"	0.0520864283915704	5.08539019574784	0.972960474480698	0.334775844602307
"ENSG00000001460"	0.0310334315523608	2.18662219992317	0.0461738805474619	0.831859504163565
"ENSG00000001461"	0.167920515737489	5.66371578496123	6.21247263997345	0.0207924948825724
"ENSG00000001497"	0.0650393553439025	4.86753375230956	0.460304850061059	0.504627690038395
"ENSG00000001561"	-0.0791161172084398	4.28302849274178	1.43065546211507	0.244518267995294
"ENSG00000001617"	-0.0906338294603479	5.40867947238152	2.21470232380947	0.151039518425498
"ENSG00000001629"	-0.0811422129181219	6.46462533156867	1.76727994261959	0.197477932617054
"ENSG00000002016"	0.118702914997546	3.87881349690978	1.8153470683348	0.191720245296334
"ENSG00000002330"	-0.247668714402475	3.80464372930262	5.66055696063416	0.0265500521692253
"ENSG00000002549"	0.145143554277907	3.34884893609571	1.756382195318	0.198812994116511
"ENSG00000002586"	0.573508457976905	5.59902946422741	9.80974220276183	0.0048876342011316
"ENSG00000002587"	0.134162133151943	2.64545267312342	0.531849691141667	0.473601340611798
"ENSG00000002746"	-0.339147023749673	5.8305770269839	5.46448898089666	0.0290092382938486
"ENSG00000002834"	0.0286984639949095	6.28336477016777	0.316518408808104	0.579453458372012
"ENSG00000002919"	0.0286161355445212	5.56935638234178	0.31285291646509	0.581642041787611
"ENSG00000002933"	0.956286744545506	1.59681628985888	14.0845705582114	0.00111473341022572
"ENSG00000003056"	0.106377051468653	5.73799311877458	4.00566245461735	0.0579616266658034
"ENSG00000003096"	0.293230198065993	5.57684336054442	2.54779127881942	0.124858667015445
"ENSG00000003137"	0.0792014351013316	4.13145354851716	0.24917237726225	0.622663603175849
"ENSG00000003147"	0.162854148595958	5.18945380447848	2.98651753560483	0.0981155277798774
